Problem,Iter,Avg CPU Time,Approximate Root,Function Value,Lower Bound,Upper Bound
$P1$,12,6.93511962890625e-06,1.3652300134140969,0.0,1.3652300134140969,1.3652300134140969
$P2$,9,3.4608840942382813e-06,2.0,0.0,1.9999999999999998,2.0
$P3$,9,3.330230712890625e-06,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453
$P4$,7,2.4585723876953124e-06,6.283185307179586,-2.4492935982947064e-16,6.283185307179586,6.283185307179586
$P5$,2,1.8439292907714844e-06,1.0,0.0,1.0,1.0
$P6$,10,4.705429077148438e-06,-2.0,0.0,-2.0,-2.0
$P7$,7,2.448081970214844e-06,0.7390851332151607,0.0,0.7390851332151607,0.7390851332151607
$P8$,8,3.2858848571777344e-06,3.0,0.0,3.0,3.0
$P9$,2,1.0437965393066407e-06,0.0,0.0,0.0,0.0
$P10$,17,1.4513969421386718e-05,0.4813896011499568,0.0,0.4813896011499567,0.4813896011499568
$P11$,7,2.8214454650878905e-06,1.7320508075688774,4.440892098500626e-16,1.7320508075688772,1.7320508075688774
$P12$,8,3.2567977905273438e-06,2.23606797749979,8.881784197001252e-16,2.23606797749979,2.23606797749979
$P13$,6,2.61688232421875e-06,3.162277660168379,-1.7763568394002505e-15,3.1622776601683764,3.162277660168379
$P14$,9,3.7741661071777344e-06,2.0,0.0,2.0,2.0
$P15$,7,3.436565399169922e-06,1.8284271247461903,8.881784197001252e-16,1.8284271247461905,1.8284271247461903
$P16$,11,4.303932189941406e-06,1.2599210498948732,0.0,1.2599210498948716,1.2599210498948732
$P17$,10,3.881931304931641e-06,1.5243452049841444,0.0,1.5243452049841444,1.5243452049841444
$P18$,7,2.604961395263672e-06,0.7390851332151607,0.0,0.7390851332151607,0.7390851332151607
$P19$,6,2.6645660400390625e-06,1.1141571408719302,2.220446049250313e-16,1.1141571408719304,1.1141571408719302
$P20$,9,3.63922119140625e-06,2.073932809091215,-2.220446049250313e-16,2.073932809091215,2.073932809091215
$P21$,5,2.337455749511719e-06,0.1817588726989925,-0.9999999606489609,0.1817588726989925,0.1817588726989925
$P22$,7,4.0740966796875e-06,1.6490132683031902,0.0,1.6490132683031902,1.6490132683031902
$P23$,8,4.342079162597656e-06,3.221588399093942,3.3306690738754696e-16,3.221588399093941,3.221588399093942
$P24$,8,3.7369728088378905e-06,2.12539119881113,0.0,2.12539119881113,2.12539119881113
$P25$,8,3.886699676513672e-06,0.8767262153950625,0.0,0.8767262153950625,0.8767262153950625
