Problem,Iter,Avg CPU Time,Approximate Root,Function Value,Lower Bound,Upper Bound
$P1$,10,2.586507797241211e-05,1.3652300134140964,-7.105427357601002e-15,1.365230013413779,1.3675001980274413
$P2$,1,2.3136138916015626e-06,2.0,0.0,0.0,4.0
$P3$,10,1.7191410064697264e-05,0.6931471805599453,0.0,0.6931471805599334,0.695162706464415
$P4$,6,9.46950912475586e-06,3.141592653589793,1.2246467991473532e-16,3.1415903579556947,3.141592653604888
$P5$,1,2.621173858642578e-06,1.0,0.0,1.0,2.5
$P6$,1,2.1076202392578125e-06,-2.0,0.0,-2.5,-1.5
$P7$,8,1.2805461883544922e-05,0.7390851332151606,1.1102230246251565e-16,0.739085133215147,0.7422270732175922
$P8$,1,1.8362998962402344e-06,3.0,0.0,2.0,4.0
$P9$,1,1.48773193359375e-06,0.0,0.0,-1.0,1.0
$P10$,8,2.735328674316406e-05,3.1117486563092474,0.0,3.1085379927858856,3.1117486563092536
$P11$,8,1.4408588409423828e-05,1.7320508075688772,-4.440892098500626e-16,1.7320508075688001,1.7350578402209837
$P12$,10,1.8300533294677733e-05,2.236067977499789,-3.552713678800501e-15,2.236067977499364,2.243929153983615
$P13$,8,1.4699935913085937e-05,3.1622776601683795,1.7763568394002505e-15,3.16227766016837,3.1672187190124017
$P14$,2,3.879070281982422e-06,2.0,0.0,1.5,2.5
$P15$,5,1.0489940643310546e-05,1.82842712474619,0.0,1.8284271247430004,1.8284271247493797
$P16$,9,1.6484737396240233e-05,1.2599210498948723,-3.9968028886505635e-15,1.259921049893984,1.2611286403176987
$P17$,11,1.9501686096191408e-05,1.5243452049841444,0.0,1.5243452049841386,1.526033337108763
$P18$,8,1.2975692749023437e-05,0.7390851332151606,-1.1102230246251565e-16,0.739085133215147,0.7422270732175922
$P19$,6,1.0957241058349609e-05,1.11415714087193,-2.220446049250313e-16,1.1132427327642702,1.1141571408719766
$P20$,10,1.820516586303711e-05,2.073932809091215,-2.220446049250313e-16,2.0739328090911866,2.078935003337393
$P21$,12,2.180337905883789e-05,0.9999999999999999,-1.1102230246251565e-15,0.9999999999999305,1.000343363282986
$P22$,8,1.8094539642333986e-05,1.6490132683031895,-3.552713678800501e-15,1.6490132683026435,1.6531557562694839
$P23$,9,1.9770145416259765e-05,3.221588399093942,3.3306690738754696e-16,3.2215883990939242,3.2224168881395068
$P24$,9,1.771354675292969e-05,2.125391198811129,-6.217248937900877e-15,2.125391198810404,2.1275191334463157
$P25$,7,1.3748645782470702e-05,0.8767262153950581,4.773959005888173e-15,0.8767262153886713,0.8772684454348731
